WAFER_ID,sae_features_0,sae_features_1,sae_features_2,sae_features_3,sae_features_4,sae_features_5,sae_features_6,sae_features_7,sae_features_8,sae_features_9,sae_features_10,sae_features_11,sae_features_12,sae_features_13,sae_features_14,sae_features_15,sae_features_16,sae_features_17,sae_features_18,sae_features_19,sae_features_20,sae_features_21,sae_features_22,sae_features_23,sae_features_24,sae_features_25,sae_features_26,sae_features_27,sae_features_28,sae_features_29,sae_features_30,sae_features_31,sae_features_32,sae_features_33,sae_features_34,sae_features_35,sae_features_36,sae_features_37,sae_features_38,sae_features_39,sae_features_40,sae_features_41,sae_features_42,sae_features_43,sae_features_44,sae_features_45,sae_features_46,sae_features_47,sae_features_48,sae_features_49,sae_features_50,sae_features_51,sae_features_52,sae_features_53,sae_features_54,sae_features_55,sae_features_56,sae_features_57,sae_features_58,sae_features_59,sae_features_60,sae_features_61,sae_features_62,sae_features_63
-4230160598,1.5290923,1.7373574,2.9663105,6.1742015,5.646472,4.5369434,0.0,0.0,0.0,0.74463165,5.452511,0.0,4.5341363,6.8599014,6.4897776,3.0134568,6.1129255,0.0,2.1149092,5.2292,0.66405857,3.1150239,1.3339391,3.5281327,6.0154467,0.0,0.0,0.0,4.2441244,2.0586636,4.797632,0.0,0.14266627,4.6630497,0.87338996,5.9802113,7.04125,0.56239307,0.0,4.0664964,0.0,1.5590725,2.1900353,0.0,3.7651708,0.0,0.0,4.0742545,0.0,3.0633042,1.4832264,6.3744354,3.0732915,3.276277,2.8991816,2.923306,1.7402346,6.165949,0.7761649,4.763829,5.0462704,2.9659057,3.6909313,0.0
-4230160428,1.3944743,3.6734233,3.5366538,3.0135,6.5120473,2.8587685,3.477117,0.0,0.0,0.0,6.624464,0.0,7.2812204,3.666514,5.5956697,3.2133992,4.3566623,0.0,7.0849295,3.8074853,2.280099,2.7784114,3.9233193,5.139173,3.9995632,0.0,0.0,0.0,9.379869,4.1203127,3.50838,0.0,2.7246008,4.8148746,1.6850337,3.6294608,5.4889636,0.8931925,0.0,3.8143406,0.0,7.0524993,5.1424007,0.0,4.1811075,0.0,0.0,3.4099944,0.0,7.010752,0.0,4.50482,2.0423028,4.845474,3.0389051,1.8272228,5.204586,5.747226,1.8187019,0.67021173,5.4685555,0.3911942,1.6765699,0.0
-4230160424,2.2620573,3.765864,3.2634215,3.7138987,5.712059,2.9951725,3.101449,0.0,0.0,0.0,6.3200607,0.0,6.88821,3.9402509,6.097795,2.9491775,4.037375,0.0,6.8849826,3.5164034,2.358932,2.3337808,3.9746923,6.2725186,4.5089955,0.0,0.0,0.0,9.09699,2.7423112,4.0650964,0.0,2.5456514,5.0667086,0.5534342,4.6742764,5.757781,1.3319496,0.0,4.2838864,0.0,7.731074,6.034337,0.0,3.975159,0.0,0.0,2.4164183,0.0,7.753257,0.0,5.135045,1.8914037,4.8311667,1.9066529,3.4704914,5.286981,5.8004737,1.3787652,2.578333,6.0859175,1.6616037,0.87287,0.0
-4230160408,1.6802925,3.6868625,3.6350303,3.5787172,6.2537293,2.9426172,2.738783,0.0,0.0,0.0,6.8477693,0.0,7.1540337,4.444784,5.862262,4.190728,4.055792,0.0,6.7645817,3.8556137,2.1404011,2.6863027,3.9024713,5.7814374,4.765369,0.0,0.0,0.0,9.533646,3.1209764,4.2597613,0.0,2.1905072,5.0309863,1.1704067,4.141719,6.561222,1.3859085,0.0,3.6606498,0.07815436,7.340617,5.814989,0.0,4.014008,0.0,0.0,3.0864346,0.0,7.2386622,0.0,5.4044724,2.002605,4.3910847,2.131982,2.4785962,5.32904,5.7201066,1.870336,2.364131,6.0977693,1.5003183,1.143732,0.0
-4228160702,1.1920784,1.5843376,3.1499434,6.375426,5.2888255,3.8860202,0.0,0.0,0.0,0.17486203,5.4045525,0.0,4.409271,6.9518585,6.4679213,2.0683584,5.925593,0.0,2.1534817,5.0879583,0.5938354,2.3936453,1.0798402,3.5394127,5.9623756,0.0,0.0,0.0,4.1801677,2.1000645,4.5970874,0.0,0.06496697,4.733485,1.0526531,5.9382796,6.4839406,0.6779303,0.0,3.5705738,0.0,1.7412586,2.091533,0.0,4.1529694,0.0,0.0,3.7509272,0.0,2.6459298,1.0205702,5.935017,3.2391868,3.0215235,2.6503513,3.045865,0.8919772,6.403924,0.19831134,4.4882374,4.826465,2.6093876,3.4118242,0.0
-4228160690,1.2694402,1.6834229,2.9077075,6.0216475,4.912243,3.7080812,0.0,0.0,0.0,0.64297897,5.009511,0.0,4.050458,6.5744357,6.30067,2.262511,5.5659795,0.0,1.9199442,4.676016,0.71863526,2.6573327,1.572108,3.215017,5.7774644,0.0,0.0,0.0,4.2270207,1.8193686,4.3231378,0.0,0.0,4.417673,0.86245185,5.808835,6.4470196,0.58708906,0.0,3.677129,0.0,1.8212272,2.2474654,0.0,3.999863,0.0,0.0,3.479732,0.0,2.806432,0.9953852,5.635993,2.902239,2.595451,2.3809028,2.7913423,1.1897506,6.1449676,0.49023247,4.691325,4.7594166,2.649883,3.1133168,0.0
-4228160686,0.83702147,1.5465662,3.312181,6.88904,6.30103,4.896556,0.0,0.0,0.0,0.0,6.1302133,0.0,5.219271,7.200812,7.2021317,3.116049,6.6215687,0.0,2.5277836,5.788662,0.36561152,2.700534,1.0552393,4.0928955,6.2655263,0.0,0.0,0.0,4.849218,2.2170293,5.2911696,0.0,0.058210365,5.4001603,0.6173055,6.1600246,6.944956,0.42698112,0.0,4.0043325,0.0,1.787796,2.573654,0.0,3.9682472,0.0,0.0,4.579767,0.0,2.9716897,1.4591634,6.297322,3.3581347,3.7220068,3.1771996,3.1988032,1.884444,6.8001957,0.2950053,3.9062424,5.3998094,2.1626892,3.823579,0.0
-4228160682,1.6757089,1.6451656,3.3859153,6.7782745,5.6714845,4.296754,0.0,0.0,0.0,0.29573494,5.637055,0.0,4.7788157,7.2888627,6.5947742,2.3183925,6.285785,0.0,2.5012844,5.494547,0.5736165,2.6809225,1.022218,3.6885521,6.04424,0.0,0.0,0.0,4.085927,1.8770489,4.935541,0.0,0.2570072,5.070466,0.7376133,6.3831196,6.677692,0.5641717,0.0,4.1074,0.0,1.7523904,2.1868415,0.0,4.307578,0.0,0.0,3.9853845,0.0,2.7953503,1.352525,6.3098235,3.3223157,3.066791,2.805049,3.2761722,1.1991949,6.396761,0.1947549,4.7247534,4.967413,2.8097978,3.9046357,0.0
-4228160678,0.8703109,1.6720651,3.1891937,6.34976,5.354799,3.6556242,0.0,0.0,0.0,0.11166608,5.510858,0.0,4.5049634,6.993753,6.413062,1.8566618,6.0036845,0.0,2.0649805,5.0062146,0.36898118,2.3394294,1.0975205,3.3542953,6.158767,0.0,0.0,0.0,4.4104233,2.2075667,4.6455116,0.0,0.011349166,4.666846,1.0493623,5.9188147,6.5033145,0.5775677,0.0,3.33877,0.0,1.8363748,2.0207365,0.0,4.061904,0.0,0.0,3.7112827,0.0,2.595689,1.070561,6.1332498,3.2648723,3.0305815,2.4942992,3.1492603,0.65725887,6.3704133,0.14087643,4.2233715,4.725128,2.5454366,3.2868707,0.0
-4228160670,1.4152176,1.6611879,3.415988,6.5855045,5.547774,5.166971,0.0,0.0,0.0,0.78953886,5.854087,0.0,4.854701,6.939593,6.697299,4.058808,6.3375983,0.0,2.7493505,5.786901,1.1639998,3.5314949,1.8185041,3.6014535,6.300289,0.0,0.0,0.0,4.926784,2.3522024,5.212099,0.0,0.0,4.9966636,1.0794024,5.8124013,8.012169,0.84490556,0.0,4.2758946,0.0,2.098848,2.705245,0.0,3.7364674,0.0,0.0,4.5538526,0.0,3.2753644,1.5860835,6.6708994,3.3580928,3.6366327,3.063486,3.0488858,2.5505345,6.214713,1.0976579,4.7359967,5.6794434,2.9528697,3.7232647,0.0
-4228160662,1.4145257,1.6117829,3.1999023,6.639812,5.6923614,5.075657,0.0,0.0,0.0,0.6411354,5.646369,0.0,4.7887535,6.9566927,6.8521733,3.7172763,6.320168,0.0,2.3215513,5.698799,0.9119103,3.2770944,1.5039637,3.714006,6.3514934,0.0,0.0,0.0,4.679246,2.418542,5.1393976,0.0,0.0,4.948946,0.8278893,6.0869594,7.4693933,0.6208455,0.0,4.2635574,0.0,1.9455167,2.5613804,0.0,3.9038386,0.0,0.0,4.41657,0.0,3.196425,1.5820047,6.5731425,3.1905904,3.5108926,3.0773354,3.0483322,2.3204496,6.2996044,0.9627633,4.564344,5.628427,2.8218343,3.8423436,0.0
-4228160658,0.99401104,1.5645787,3.573374,5.3866315,5.5910425,4.2458115,0.0,0.0,0.0,0.0,5.020036,0.0,4.1017714,6.0184536,5.891835,2.273203,6.041139,0.0,2.6427178,5.291655,0.30639488,2.0779428,1.6745304,3.3796546,5.234453,0.0,0.0,0.0,3.614276,1.7239056,4.446121,0.0,0.29873252,5.161691,0.94160336,5.2688937,5.9934144,0.08103127,0.0,3.7146196,0.0,1.0363878,1.372159,0.0,2.9159074,0.0,0.0,3.80344,0.0,2.800571,1.0175526,5.681637,2.8753984,3.0229714,2.8959901,2.6356466,1.5081457,5.9067125,0.0,3.2844286,4.3956695,1.5401351,3.7329297,0.0
-4228160642,1.2653121,1.683232,3.5126019,7.057846,6.3446345,5.349085,0.31014338,0.0,0.0,0.36541212,6.5081577,0.0,5.498616,7.393239,7.339021,3.8536084,6.926591,0.0,2.9299362,6.121134,0.7214208,3.4570746,1.468223,4.2621255,6.6618004,0.0,0.0,0.0,5.231952,2.5844336,5.7234526,0.0,0.09242354,5.4911685,1.0833277,6.185208,7.730097,0.71430266,0.0,4.333966,0.0,1.9018869,2.9370348,0.0,4.084125,0.0,0.0,4.9837594,0.0,3.284213,1.6666185,6.910985,3.663012,4.312673,3.5367882,3.361369,2.490455,6.8792224,0.8631824,4.3732514,5.801531,2.630244,4.0809145,0.0
-4228160604,1.3817668,1.6081594,3.030323,5.980915,4.8765073,3.1739502,0.0,0.27487615,0.0,0.3012064,5.0788827,0.0,4.0885353,6.4175634,5.7896347,1.6315418,5.3403563,0.0,1.6618422,4.4405437,0.7396216,2.4377928,1.2456402,3.0897288,5.6964407,0.0,0.0,0.0,4.1028447,2.1872482,3.9179783,0.0,0.0,4.119987,1.1381624,5.381844,5.7657495,0.65788114,0.0,3.0850232,0.0,1.5655043,1.8761697,0.0,3.9049106,0.07398771,0.0,3.2838347,0.0,1.893155,0.8847885,5.5839186,3.02782,2.885568,2.671432,3.043754,0.5859977,5.9398513,0.0,4.1551886,4.4839034,2.6129096,3.128263,0.0
