WAFER_ID,sae_features_0,sae_features_1,sae_features_2,sae_features_3,sae_features_4,sae_features_5,sae_features_6,sae_features_7,sae_features_8,sae_features_9,sae_features_10,sae_features_11,sae_features_12,sae_features_13,sae_features_14
-4230160598,9.099574,0.0,0.0,3.918634,7.3598046,3.6829,7.766345,5.8401175,8.684337,4.98802,0.0,0.0,7.922796,9.914245,0.0
-4230160428,9.384566,0.0,0.0,6.074884,6.442027,4.9062667,7.978702,6.1912208,8.547207,5.340702,0.3187228,0.0,7.6701956,9.560292,0.0
-4230160424,9.856676,0.0,0.0,5.875718,6.8101926,4.850394,8.43297,6.597934,9.170872,5.516559,0.22353418,0.0,8.180332,10.583854,0.0
-4230160408,9.9615965,0.0,0.0,5.7520404,6.9676046,4.8447423,8.4343815,6.6280403,9.049098,5.5947223,0.0,0.0,8.421497,10.505659,0.0
-4228160702,8.68917,0.0,0.0,3.6656806,6.907708,3.43891,7.5646977,5.626471,8.279566,4.6627383,0.0,0.0,7.6932497,9.62992,0.0
-4228160690,7.861557,0.0,0.0,3.5271702,6.5569606,3.0455718,6.949587,5.1182313,7.5549145,4.263913,0.0,0.0,6.8972178,8.440811,0.0
-4228160686,9.34001,0.0,0.0,5.254639,6.894659,4.488964,7.943846,6.323138,8.931338,5.3027377,0.0,0.0,7.950276,9.836555,0.0
-4228160682,8.652446,0.0,0.0,3.9613268,6.833606,3.4901915,7.6996784,5.6410456,8.207071,4.6852612,0.0,0.0,7.518202,9.532695,0.0
-4228160678,8.237455,0.0,0.0,3.9319286,6.818261,3.4997416,7.254642,5.370054,8.05616,4.463013,0.0,0.0,7.2617564,8.8041525,0.0
-4228160670,9.673179,0.0,0.0,4.6998806,7.323474,4.2555447,8.014194,6.3271537,9.202968,5.307315,0.0,0.0,8.271757,10.350814,0.0
-4228160662,8.951496,0.0,0.0,4.1865153,6.749126,3.8852835,7.404288,5.8966618,8.528753,4.9452205,0.0,0.0,7.704419,9.627217,0.0
-4228160658,7.58472,0.0,0.0,3.0510454,6.3678403,2.8995023,6.587052,4.793346,7.3551707,4.055625,0.0,0.0,6.6783743,8.344194,0.0
-4228160642,9.538695,0.0,0.0,5.4082155,6.9154115,4.671135,8.003952,6.530009,9.112069,5.4955597,0.0,0.0,8.062961,9.970014,0.0
-4228160604,7.541754,0.0,0.0,3.3784764,6.4158387,3.0815582,6.7696114,4.982431,7.3620596,4.0816417,0.0,0.0,6.770084,8.0299425,0.0
-4228160600,7.953235,0.0,0.0,3.0616589,6.5941772,2.920003,7.008834,5.155239,7.614004,4.256547,0.0,0.0,7.0364666,8.767988,0.0
