WAFER_ID,n_stable_segment,b_stable,b_stable_update
-4230160598,5,"[0, 18, 18, 138, 138, 158, 158, 169, 169, 187]","[0, 18, 138, 158, 169, 187]"
-4230160428,5,"[0, 17, 17, 138, 138, 158, 158, 170, 170, 187]","[0, 17, 138, 158, 170, 187]"
-4230160424,5,"[0, 18, 18, 140, 140, 160, 160, 171, 171, 188]","[0, 18, 140, 160, 171, 188]"
-4230160408,5,"[0, 18, 18, 138, 138, 159, 159, 170, 170, 187]","[0, 18, 138, 159, 170, 187]"
-4228160702,5,"[0, 18, 18, 142, 142, 162, 162, 172, 172, 189]","[0, 18, 142, 162, 172, 189]"
-4228160690,5,"[0, 17, 17, 141, 141, 162, 162, 173, 173, 190]","[0, 17, 141, 162, 173, 190]"
-4228160686,5,"[0, 20, 20, 144, 144, 165, 165, 176, 176, 193]","[0, 20, 144, 165, 176, 193]"
-4228160682,5,"[0, 19, 19, 146, 146, 166, 166, 176, 176, 193]","[0, 19, 146, 166, 176, 193]"
-4228160678,5,"[0, 16, 16, 142, 142, 163, 163, 173, 173, 192]","[0, 16, 142, 163, 173, 192]"
-4228160670,5,"[0, 17, 17, 139, 139, 159, 159, 169, 169, 186]","[0, 17, 139, 159, 169, 186]"
-4228160662,5,"[0, 17, 17, 140, 140, 161, 161, 171, 171, 189]","[0, 17, 140, 161, 171, 189]"
-4228160658,5,"[0, 9, 9, 133, 133, 153, 153, 163, 163, 181]","[0, 9, 133, 153, 163, 181]"
-4228160642,5,"[0, 20, 20, 140, 140, 161, 161, 172, 172, 189]","[0, 20, 140, 161, 172, 189]"
-4228160604,5,"[0, 18, 18, 149, 149, 161, 161, 182, 182, 197]","[0, 18, 149, 161, 182, 197]"
-4228160600,5,"[0, 15, 15, 137, 137, 158, 158, 169, 169, 186]","[0, 15, 137, 158, 169, 186]"
-4228160596,5,"[0, 15, 15, 141, 141, 161, 161, 171, 171, 192]","[0, 15, 141, 161, 171, 192]"
-4228160580,5,"[0, 17, 17, 146, 146, 165, 165, 176, 176, 197]","[0, 17, 146, 165, 176, 197]"
-4226160424,5,"[0, 16, 16, 142, 142, 161, 161, 172, 172, 189]","[0, 16, 142, 161, 172, 189]"
-4226160416,5,"[0, 10, 10, 134, 134, 155, 155, 165, 165, 183]","[0, 10, 134, 155, 165, 183]"
-4226160396,5,"[0, 9, 9, 132, 132, 152, 152, 161, 161, 184]","[0, 9, 132, 152, 161, 184]"
-4224160694,5,"[0, 17, 17, 144, 144, 165, 165, 174, 174, 193]","[0, 17, 144, 165, 174, 193]"
-4224160690,5,"[0, 17, 17, 147, 147, 168, 168, 178, 178, 196]","[0, 17, 147, 168, 178, 196]"
-4224160662,5,"[0, 8, 8, 133, 133, 148, 148, 151, 151, 172]","[0, 8, 133, 148, 151, 172]"
-4224160654,5,"[0, 12, 12, 133, 133, 154, 154, 165, 165, 182]","[0, 12, 133, 154, 165, 182]"
-4224160650,5,"[0, 10, 10, 137, 137, 157, 157, 167, 167, 184]","[0, 10, 137, 157, 167, 184]"
-4224160646,5,"[0, 16, 16, 163, 163, 183, 183, 193, 193, 211]","[0, 16, 163, 183, 193, 211]"
-4224160600,5,"[0, 9, 9, 131, 131, 152, 152, 162, 162, 180]","[0, 9, 131, 152, 162, 180]"
-4222160448,5,"[0, 18, 18, 147, 147, 169, 169, 179, 179, 197]","[0, 18, 147, 169, 179, 197]"
-4222160428,5,"[0, 17, 17, 147, 147, 167, 167, 175, 175, 194]","[0, 17, 147, 167, 175, 194]"
-4222160420,5,"[0, 19, 19, 148, 148, 169, 169, 179, 179, 197]","[0, 19, 148, 169, 179, 197]"
-4222160392,5,"[0, 16, 16, 146, 146, 166, 166, 175, 175, 193]","[0, 16, 146, 166, 175, 193]"
-4220160702,5,"[0, 10, 10, 129, 129, 150, 150, 160, 160, 178]","[0, 10, 129, 150, 160, 178]"
-4220160694,5,"[0, 20, 20, 137, 137, 158, 158, 168, 168, 186]","[0, 20, 137, 158, 168, 186]"
-4220160674,5,"[0, 17, 17, 145, 145, 165, 165, 175, 175, 193]","[0, 17, 145, 165, 175, 193]"
-4220160650,5,"[0, 20, 20, 146, 146, 166, 166, 176, 176, 194]","[0, 20, 146, 166, 176, 194]"
-4220160646,5,"[0, 18, 18, 134, 134, 157, 157, 167, 167, 185]","[0, 18, 134, 157, 167, 185]"
-4220160604,5,"[0, 17, 17, 148, 148, 167, 167, 177, 177, 194]","[0, 17, 148, 167, 177, 194]"
-4216160702,5,"[0, 22, 22, 153, 153, 174, 174, 185, 185, 202]","[0, 22, 153, 174, 185, 202]"
-4216160694,5,"[0, 17, 17, 150, 150, 169, 169, 180, 180, 198]","[0, 17, 150, 169, 180, 198]"
-4216160670,5,"[0, 16, 16, 142, 142, 163, 163, 173, 173, 191]","[0, 16, 142, 163, 173, 191]"
-4216160666,5,"[0, 7, 7, 136, 136, 156, 156, 166, 166, 183]","[0, 7, 136, 156, 166, 183]"
-4216160662,5,"[0, 19, 19, 148, 148, 169, 169, 179, 179, 197]","[0, 19, 148, 169, 179, 197]"
-4216160658,5,"[0, 17, 17, 146, 146, 167, 167, 177, 177, 195]","[0, 17, 146, 167, 177, 195]"
-4216160650,5,"[0, 17, 17, 145, 145, 165, 165, 178, 178, 192]","[0, 17, 145, 165, 178, 192]"
-4216160642,5,"[0, 17, 17, 152, 152, 171, 171, 182, 182, 198]","[0, 17, 152, 171, 182, 198]"
-4216160640,5,"[0, 17, 17, 137, 137, 156, 156, 167, 167, 184]","[0, 17, 137, 156, 167, 184]"
-4216160624,5,"[0, 17, 17, 144, 144, 165, 165, 177, 177, 193]","[0, 17, 144, 165, 177, 193]"
-4210160444,5,"[0, 19, 19, 142, 142, 162, 162, 172, 172, 190]","[0, 19, 142, 162, 172, 190]"
-4208160362,5,"[0, 12, 12, 131, 131, 150, 150, 160, 160, 178]","[0, 12, 131, 150, 160, 178]"
-4141512120,5,"[0, 16, 16, 137, 137, 158, 158, 169, 169, 186]","[0, 16, 137, 158, 169, 186]"
-4141512096,5,"[0, 19, 19, 143, 143, 164, 164, 174, 174, 191]","[0, 19, 143, 164, 174, 191]"
