STAGE,WAFER_ID,DRESSING_WATER_STATUS_mean,DRESSING_WATER_STATUS_std,DRESSING_WATER_STATUS_median,DRESSING_WATER_STATUS_sub,DRESSING_WATER_STATUS_auc,USAGE_OF_DRESSER_TABLE_mean,USAGE_OF_DRESSER_TABLE_std,USAGE_OF_DRESSER_TABLE_median,USAGE_OF_DRESSER_TABLE_sub,USAGE_OF_DRESSER_TABLE_auc,EDGE_AIR_BAG_PRESSURE_mean,EDGE_AIR_BAG_PRESSURE_std,EDGE_AIR_BAG_PRESSURE_median,EDGE_AIR_BAG_PRESSURE_sub,EDGE_AIR_BAG_PRESSURE_auc,USAGE_OF_BACKING_FILM_mean,USAGE_OF_BACKING_FILM_std,USAGE_OF_BACKING_FILM_median,USAGE_OF_BACKING_FILM_sub,USAGE_OF_BACKING_FILM_auc,USAGE_OF_MEMBRANE_mean,USAGE_OF_MEMBRANE_std,USAGE_OF_MEMBRANE_median,USAGE_OF_MEMBRANE_sub,USAGE_OF_MEMBRANE_auc,STAGE_ROTATION_mean,STAGE_ROTATION_std,STAGE_ROTATION_median,STAGE_ROTATION_sub,STAGE_ROTATION_auc,HEAD_ROTATION_mean,HEAD_ROTATION_std,HEAD_ROTATION_median,HEAD_ROTATION_sub,HEAD_ROTATION_auc,USAGE_OF_PRESSURIZED_SHEET_mean,USAGE_OF_PRESSURIZED_SHEET_std,USAGE_OF_PRESSURIZED_SHEET_median,USAGE_OF_PRESSURIZED_SHEET_sub,USAGE_OF_PRESSURIZED_SHEET_auc,WAFER_ROTATION_mean,WAFER_ROTATION_std,WAFER_ROTATION_median,WAFER_ROTATION_sub,WAFER_ROTATION_auc,SLURRY_FLOW_LINE_A_mean,SLURRY_FLOW_LINE_A_std,SLURRY_FLOW_LINE_A_median,SLURRY_FLOW_LINE_A_sub,SLURRY_FLOW_LINE_A_auc,USAGE_OF_DRESSER_mean,USAGE_OF_DRESSER_std,USAGE_OF_DRESSER_median,USAGE_OF_DRESSER_sub,USAGE_OF_DRESSER_auc,PRESSURIZED_CHAMBER_PRESSURE_mean,PRESSURIZED_CHAMBER_PRESSURE_std,PRESSURIZED_CHAMBER_PRESSURE_median,PRESSURIZED_CHAMBER_PRESSURE_sub,PRESSURIZED_CHAMBER_PRESSURE_auc,SLURRY_FLOW_LINE_B_mean,SLURRY_FLOW_LINE_B_std,SLURRY_FLOW_LINE_B_median,SLURRY_FLOW_LINE_B_sub,SLURRY_FLOW_LINE_B_auc,RIPPLE_AIR_BAG_PRESSURE_mean,RIPPLE_AIR_BAG_PRESSURE_std,RIPPLE_AIR_BAG_PRESSURE_median,RIPPLE_AIR_BAG_PRESSURE_sub,RIPPLE_AIR_BAG_PRESSURE_auc,CENTER_AIR_BAG_PRESSURE_mean,CENTER_AIR_BAG_PRESSURE_std,CENTER_AIR_BAG_PRESSURE_median,CENTER_AIR_BAG_PRESSURE_sub,CENTER_AIR_BAG_PRESSURE_auc,MAIN_OUTER_AIR_BAG_PRESSURE_mean,MAIN_OUTER_AIR_BAG_PRESSURE_std,MAIN_OUTER_AIR_BAG_PRESSURE_median,MAIN_OUTER_AIR_BAG_PRESSURE_sub,MAIN_OUTER_AIR_BAG_PRESSURE_auc,SLURRY_FLOW_LINE_C_mean,SLURRY_FLOW_LINE_C_std,SLURRY_FLOW_LINE_C_median,SLURRY_FLOW_LINE_C_sub,SLURRY_FLOW_LINE_C_auc,USAGE_OF_POLISHING_TABLE_mean,USAGE_OF_POLISHING_TABLE_std,USAGE_OF_POLISHING_TABLE_median,USAGE_OF_POLISHING_TABLE_sub,USAGE_OF_POLISHING_TABLE_auc,RETAINER_RING_PRESSURE_mean,RETAINER_RING_PRESSURE_std,RETAINER_RING_PRESSURE_median,RETAINER_RING_PRESSURE_sub,RETAINER_RING_PRESSURE_auc,AVG_REMOVAL_RATE
A,-1193530880.0,0.18115942028985507,0.3858498482594562,0,1,50.666999995708466,3100.0,0.0,3100.0,0.0,907267.6999866962,56.98067632854918,31.34104075637719,69.696969697,106.363636364,16310.948485004223,373.00422705313423,2.921512380998606,372.5,10.833333332999985,109159.0137483909,4.422975024347105,0.03464243930054809,4.41699604743,0.12845849802999965,1294.3756570959818,72.78747139580808,101.9967020095871,0.0,263.026315789,19722.02177793596,160.3246376811596,8.302436107721231,156.8,35.19999999999999,46878.98559932709,111.90217391304348,0.8777216283748492,111.75,3.25,32748.287499517202,10.485338725980759,15.795088318661222,0.0,34.8837209302,3387.575464891175,4.975342190015719,6.4313275423195275,2.22222222222,25.2777777778,1393.541527779351,407.6301663982535,0.18166268767601185,407.777777778,0.3703703709999786,119302.54333157942,111.44582470638522,55.136252119617374,146.19047619,146.666666667,32820.014285439196,0.9057971014493633,0.054720842311718886,0.909090909091,0.909090909091,265.1518181779433,13.672595520426096,7.1470024597679584,17.3181818182,20.0454545455,3943.00943179577,87.31997282608695,46.286830398998234,109.6875,137.8125,25086.603593891487,383.85217391304354,202.53373132031467,498.0,498.0,110569.36680042744,325.1449275362324,180.71906920459855,434.0,450.8,97038.23779951334,331.55931293612343,2.596899894301877,331.111111111,9.629629628999965,97030.23444301356,1931.0652173913065,1347.2777846337356,1934.4,7733.7,568317.3794964016,152.3616
A,-1193530852.0,0.4618181818181818,0.4994489332198969,0,1,130.66550001502037,3149.0,0.0,3149.0,0.0,923705.617013514,0.0,0.0,0.0,0.0,0.0,1515.8333333299972,2.7334585563134127e-12,1515.83333333,0.0,444643.9391721941,17.974308300399944,5.694705325652943e-14,17.9743083004,0.0,5272.4577767583705,0.0,0.0,0.0,0.0,0.0,158.24290909090925,1.5951725448708434,156.8,3.1999999999999886,46395.68160066605,454.75,0.0,454.75,0.0,133393.18175195158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.3703703700008,7.972587455914119e-13,480.37037037,0.0,140908.48185380473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333300025,2.8473526628264716e-14,33.3333333333,0.0,9777.76666679994,0.0,0.0,0.0,0.0,0.0,153.5973
A,-1193530682.0,0.3583617747440273,0.480339540481797,0,1,103.5004999935627,3188.442832764505,0.10517351620941418,3188.5,0.25,988418.375,7.365808253182935,17.505391151580145,0.0,57.5757575758,2136.2121212129,2498.9533560891155,0.5469796693673167,2499.16666667,2.5,774680.4166675,29.631857977328913,0.006485924928892678,29.6343873518,0.029644268800002038,9185.9337944724,59.63714747614076,97.87182552388452,0.0,263.552631579,18759.475067164727,159.3993174061436,5.601332969867001,156.8,35.19999999999999,49371.73280000687,749.6860068259385,0.1640939004729452,749.75,0.75,232404.125,7.54901182633236,14.008894977446493,0.0,34.8837209302,2456.4383720369597,2.7261092150164505,6.597800235593073,0.0,26.3888888889,827.2406250608611,538.8029326256566,0.15662342432957557,538.888888889,0.37037036999993234,167030.555555615,14.53274825288363,30.53877333118968,0.0,91.4285714286,4219.125714301762,0.28234564070744395,0.42138440601246524,0.0,0.909090909091,83.33318182014085,1.4868135277699306,3.5045157963637195,0.0,16.8181818182,430.6969545459366,9.162755972696246,21.757295878616524,0.0,65.9375,2651.71875,35.70511945392491,84.89773627362756,0.0,258.0,10333.399800002575,50.476450511945394,135.33584667624908,0.0,456.4,15101.724400973319,61.25395019594364,0.5523413681024184,61.4814814815,2.2222222221999957,18993.703703708095,479.24744027303745,1407.8674426707069,0.0,7137.0,143024.0974744946,154.33335
A,-1193530674.0,0.5228070175438596,0.5003581618115417,1,1,142.66749998927116,3150.0,0.0,3150.0,0.0,941850.0,0.0,0.0,0.0,0.0,0.0,1551.666666670003,2.9610571828116404e-12,1551.66666667,0.0,463948.33333433,18.399209486199982,1.7794814800550723e-14,18.3992094862,0.0,5501.363636373801,12.939058171729965,56.842975919769515,0.0,263.026315789,3857.5890794899706,158.27087719298277,1.5975865167581018,156.8,3.1999999999999886,47321.600000000006,465.5,0.0,465.5,0.0,139184.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.85185185199964,3.416604441705739e-13,481.851851852,0.0,144073.70370374797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.1851851852003,2.9895288864925215e-13,65.1851851852,0.0,19490.3703703748,0.0,0.0,0.0,0.0,0.0,149.74545
A,-1193530654.0,0.625,0.48501531150936256,1,1,188.0,3149.0,0.0,3149.0,0.0,913210.0,0.0,0.0,0.0,0.0,0.0,1515.8333333299972,2.733513573375769e-12,1515.83333333,0.0,439591.6666657,17.974308300399947,5.338893697999548e-14,17.9743083004,0.0,5212.549407116001,0.0,0.0,0.0,0.0,0.0,158.1294117647061,1.579860223022628,156.8,3.1999999999999886,45898.671999931335,454.75,0.0,454.75,0.0,131877.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.37037037000096,9.681193905705847e-13,480.37037037,0.0,139307.40740730002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333330003,3.559262465333032e-14,33.3333333333,0.0,9666.666666657,0.0,0.0,0.0,0.0,0.0,150.48345
A,-1193530650.0,0.3519163763066202,0.4784022285517975,0,1,96.0,3150.0,0.0,3150.0,0.0,951300.0,0.0,0.0,0.0,0.0,0.0,1551.666666670003,2.9610208550561895e-12,1551.66666667,0.0,468603.33333434,18.399209486199982,1.779459648471268e-14,18.3992094862,0.0,5556.5612648324,0.0,0.0,0.0,0.0,0.0,158.3275261324044,1.6011496564084156,156.8,3.1999999999999886,47819.734399986264,465.5,0.0,465.5,0.0,140581.0,0.0,0.0,0.0,0.0,0.0,2.905052264806698,3.0973207942605328,2.22222222222,20.55555555558,887.5247916450439,481.85185185199964,3.416562525064834e-13,481.851851852,0.0,145519.25925930397,0.0,0.0,0.0,0.0,0.0,1.2686094393411391,1.6788576279630634,0.909090909091,11.136363636409,386.18761362677367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.736585365853658,66.35486095920125,0.0,453.6,4299.432199585438,65.1851851852003,2.9894922094317297e-13,65.1851851852,0.0,19685.9259259304,0.0,0.0,0.0,0.0,0.0,150.56655
A,-1193530646.0,0.4076655052264808,0.49225872968673984,0,1,116.33300000429153,3148.5,0.0,3148.5,0.0,950847.0,0.0,0.0,0.0,0.0,0.0,1507.5,0.0,1507.5,0.0,455265.0,17.87549407109998,2.1353515781655213e-14,17.8754940711,0.0,5398.399209472201,0.0,0.0,0.0,0.0,0.0,158.16027874564486,1.5847030756937073,156.8,3.1999999999999886,47762.13759994507,452.25,0.0,452.25,0.0,136579.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.62962962999967,3.416562525064834e-13,479.62962963,0.0,144848.14814826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.92592592589991,8.897298242356339e-14,25.9259259259,0.0,7829.6296296218,0.0,0.0,0.0,0.0,0.0,150.9651
A,-1193530642.0,0.41155234657039713,0.4930055431199638,0,1,116.9985000193119,3149.0,0.0,3149.0,0.0,924754.2340270281,0.0,0.0,0.0,0.0,0.0,1515.8333333299972,2.73342254212944e-12,1515.83333333,0.0,445148.71167869825,17.97430830039994,6.050544689609438e-14,17.9743083004,0.0,5278.443221499541,0.0,0.0,0.0,0.0,0.0,158.42888086642623,1.602634779279345,160.0,3.1999999999999886,46519.89440135956,454.75,0.0,454.75,0.0,133544.61350390315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.3703703700007,7.4030193849339e-13,480.37037037,0.0,141068.44518919947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333300025,2.8473151480515e-14,33.3333333333,0.0,9788.86666694298,0.0,0.0,0.0,0.0,0.0,149.961
A,-1193530634.0,0.3157894736842105,0.46564716198670425,0,1,98.83349999785423,3149.0,0.0,3149.0,0.0,898513.617013514,0.0,0.0,0.0,0.0,0.0,1515.833333329997,2.9610571828116404e-12,1515.83333333,0.0,432517.27250555414,17.974308300399933,6.762029624209276e-14,17.9743083004,0.0,5128.663310355171,0.0,0.0,0.0,0.0,0.0,158.32701754385988,1.6011461177969302,156.8,3.1999999999999886,45196.21440067291,454.75,0.0,454.75,0.0,129755.18175195158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.37037037000033,3.416604441705739e-13,480.37037037,0.0,137065.51889084472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333300004,7.11792592022029e-15,33.3333333333,0.0,9511.100000133541,0.0,0.0,0.0,0.0,0.0,147.0042
A,-1193530630.0,0.5323741007194245,0.49985063867865154,1,1,160.83349999785423,3149.0,0.0,3149.0,0.0,922657.0,0.0,0.0,0.0,0.0,0.0,1515.8333333299972,2.733404729884733e-12,1515.83333333,0.0,444139.16666569,17.97430830039994,6.050505261463601e-14,17.9743083004,0.0,5266.472332017201,0.0,0.0,0.0,0.0,0.0,158.11223021582745,1.5767471167803109,156.8,3.1999999999999886,46341.870399951935,454.75,0.0,454.75,0.0,133241.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.37037037000067,6.833511824711832e-13,480.37037037,0.0,140748.51851841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333330002,2.1354724452224476e-14,33.3333333333,0.0,9766.6666666569,0.0,0.0,0.0,0.0,0.0,150.02415
