STAGE,WAFER_ID,DRESSING_WATER_STATUS_mean,DRESSING_WATER_STATUS_std,DRESSING_WATER_STATUS_median,DRESSING_WATER_STATUS_sub,DRESSING_WATER_STATUS_auc,USAGE_OF_DRESSER_TABLE_mean,USAGE_OF_DRESSER_TABLE_std,USAGE_OF_DRESSER_TABLE_median,USAGE_OF_DRESSER_TABLE_sub,USAGE_OF_DRESSER_TABLE_auc,EDGE_AIR_BAG_PRESSURE_mean,EDGE_AIR_BAG_PRESSURE_std,EDGE_AIR_BAG_PRESSURE_median,EDGE_AIR_BAG_PRESSURE_sub,EDGE_AIR_BAG_PRESSURE_auc,USAGE_OF_BACKING_FILM_mean,USAGE_OF_BACKING_FILM_std,USAGE_OF_BACKING_FILM_median,USAGE_OF_BACKING_FILM_sub,USAGE_OF_BACKING_FILM_auc,USAGE_OF_MEMBRANE_mean,USAGE_OF_MEMBRANE_std,USAGE_OF_MEMBRANE_median,USAGE_OF_MEMBRANE_sub,USAGE_OF_MEMBRANE_auc,STAGE_ROTATION_mean,STAGE_ROTATION_std,STAGE_ROTATION_median,STAGE_ROTATION_sub,STAGE_ROTATION_auc,HEAD_ROTATION_mean,HEAD_ROTATION_std,HEAD_ROTATION_median,HEAD_ROTATION_sub,HEAD_ROTATION_auc,USAGE_OF_PRESSURIZED_SHEET_mean,USAGE_OF_PRESSURIZED_SHEET_std,USAGE_OF_PRESSURIZED_SHEET_median,USAGE_OF_PRESSURIZED_SHEET_sub,USAGE_OF_PRESSURIZED_SHEET_auc,WAFER_ROTATION_mean,WAFER_ROTATION_std,WAFER_ROTATION_median,WAFER_ROTATION_sub,WAFER_ROTATION_auc,SLURRY_FLOW_LINE_A_mean,SLURRY_FLOW_LINE_A_std,SLURRY_FLOW_LINE_A_median,SLURRY_FLOW_LINE_A_sub,SLURRY_FLOW_LINE_A_auc,USAGE_OF_DRESSER_mean,USAGE_OF_DRESSER_std,USAGE_OF_DRESSER_median,USAGE_OF_DRESSER_sub,USAGE_OF_DRESSER_auc,PRESSURIZED_CHAMBER_PRESSURE_mean,PRESSURIZED_CHAMBER_PRESSURE_std,PRESSURIZED_CHAMBER_PRESSURE_median,PRESSURIZED_CHAMBER_PRESSURE_sub,PRESSURIZED_CHAMBER_PRESSURE_auc,SLURRY_FLOW_LINE_B_mean,SLURRY_FLOW_LINE_B_std,SLURRY_FLOW_LINE_B_median,SLURRY_FLOW_LINE_B_sub,SLURRY_FLOW_LINE_B_auc,RIPPLE_AIR_BAG_PRESSURE_mean,RIPPLE_AIR_BAG_PRESSURE_std,RIPPLE_AIR_BAG_PRESSURE_median,RIPPLE_AIR_BAG_PRESSURE_sub,RIPPLE_AIR_BAG_PRESSURE_auc,CENTER_AIR_BAG_PRESSURE_mean,CENTER_AIR_BAG_PRESSURE_std,CENTER_AIR_BAG_PRESSURE_median,CENTER_AIR_BAG_PRESSURE_sub,CENTER_AIR_BAG_PRESSURE_auc,MAIN_OUTER_AIR_BAG_PRESSURE_mean,MAIN_OUTER_AIR_BAG_PRESSURE_std,MAIN_OUTER_AIR_BAG_PRESSURE_median,MAIN_OUTER_AIR_BAG_PRESSURE_sub,MAIN_OUTER_AIR_BAG_PRESSURE_auc,SLURRY_FLOW_LINE_C_mean,SLURRY_FLOW_LINE_C_std,SLURRY_FLOW_LINE_C_median,SLURRY_FLOW_LINE_C_sub,SLURRY_FLOW_LINE_C_auc,USAGE_OF_POLISHING_TABLE_mean,USAGE_OF_POLISHING_TABLE_std,USAGE_OF_POLISHING_TABLE_median,USAGE_OF_POLISHING_TABLE_sub,USAGE_OF_POLISHING_TABLE_auc,RETAINER_RING_PRESSURE_mean,RETAINER_RING_PRESSURE_std,RETAINER_RING_PRESSURE_median,RETAINER_RING_PRESSURE_sub,RETAINER_RING_PRESSURE_auc,AVG_REMOVAL_RATE
B,-4230160594.0,0.484375,0.5007347542538335,0,1,178.66650000214577,2750.6533203125,0.12198806972164025,2750.75,0.25,1013153.4581368044,47.89062500001606,28.88690856626826,44.2424242424,106.363636364,14851.4172726898,1291.9986979160933,4.324576174099495,1293.33333333,12.5,475762.90208892385,15.320142663033243,0.05127955937688902,15.3359683794,0.14822134389999952,5641.457337017273,38.80448190785101,82.06782015711241,0.0,263.026315789,9945.470921189879,159.55000000000007,5.879842601601486,160.0,35.19999999999999,58464.48160066605,387.599609375,1.297372852113825,388.0,3.75,142728.87062666565,19.457667151156574,16.7357022216074,34.6511627907,34.8837209302,4972.639999942509,4.564887152776643,5.6294747685522735,2.22222222222,22.916666666679998,2550.465555522983,659.1160300924757,0.1807230660735809,659.259259259,0.370370370000046,242769.84203982708,93.11569940459897,52.577726717527796,74.2857142857,150.0,28242.444285876176,0.9090909090909978,2.224795604935357e-15,0.909090909091,0.0,334.8481818221167,11.376242897740516,6.754935002309756,10.0454545455,20.0909090909,3505.1960909262298,73.184814453125,43.3530911300355,65.9375,137.8125,22615.675625018775,312.8390624999999,193.69224598422048,258.0,498.0,95327.20679991244,362.5890624999989,152.38832914726152,434.0,459.2,143625.06759998796,216.94444444444147,3.8676843486435737,217.777777778,11.111111110999985,79759.92740833502,1834.8585937500013,1394.9558771307227,1934.4,8837.4,554676.8019006193,70.0533
B,-4230160436.0,0.807799442896936,0.3945797621708104,1,1,307.5004999935627,2824.636490250696,0.16235847051933638,2824.5,0.5,1086545.4832378775,40.990968177583646,43.21547695204999,43.9393939394,141.515151515,14293.167272909668,3272.8296193128126,3.4234311209876536,3273.33333333,10.833333330000187,1258985.5345693538,38.80825635548442,0.04059404491679499,38.814229249,0.12845849800000053,14928.682228092082,55.60071836968751,93.89341329368968,0.0,263.026315789,19949.75217083629,160.47242339832908,7.5770671703523895,160.0,35.19999999999999,61711.52479925155,981.8488857938719,1.0270293364214285,982.0,3.25,377695.66037078947,18.24836431949211,15.51601362966608,23.023255814,34.8837209302,6296.70627905871,5.426338594861181,6.844986335208733,2.22222222222,25.5555555556,2277.681527824472,768.6887444550704,0.18483760596913107,768.518518519,0.37037036999993234,295691.73777459527,66.7621700490539,55.92753893110026,73.8095238095,183.80952381,23514.706905461688,0.8711066092682527,0.1821559778087464,0.909090909091,0.909090909091,334.6972727234048,7.379336540905391,6.227735712293606,10.0,18.7727272727,2553.452704572247,47.879526462395546,40.219785890524115,65.9375,120.0,16554.10421888344,188.50696378830054,160.29517789851164,256.8,483.6,65222.74920065403,269.96211699164326,205.2955060829444,420.0,498.4,98740.21779891252,322.57918085218614,2.9757721034732065,322.962962963,8.888888889000043,124119.98296160881,1331.79025069638,1390.495419484935,1446.9,7952.1,471927.957166645,54.3072
B,-4230160424.0,0.5545977011494253,0.49772578957547786,1,1,206.5,2905.364224137931,0.12471397266401554,2905.25,0.25,1051743.833250001,18.61459421804167,22.65280615602421,0.0,57.8787878788,6441.288182139049,5365.490900382988,2.4520042621329536,5367.083333335,6.666666670000268,1942336.525833299,63.62242174367867,0.029075149353690686,63.641304347849996,0.07905138339999951,23031.65840909323,57.331367211074266,94.75644852106663,0.0,263.026315789,19982.303946202643,160.17471264367865,6.697329992154835,160.0,35.19999999999999,57946.129600048065,1609.6472701149426,0.7356012785121329,1610.125,2.0,582700.9577500075,14.414595028062399,16.77010768481981,0.0,34.8837209302,5001.788488299011,3.4019795657707452,6.430073840479707,2.22222222222,26.3888888889,1345.6592362654399,119.42741592169514,0.18466611863696322,119.259259259,0.3703703709999928,43235.7407407555,33.772577996712045,38.59586741827518,0.0,150.476190476,11733.47190502011,0.5094043887147843,0.4518725672843051,0.909090909091,0.909090909091,189.69727272339028,4.019070010455743,4.856091530255498,0.0,10.0454545455,1392.6102727728653,26.19612068965517,31.752700440558005,0.0,65.9375,9084.560312796384,102.43793103448267,124.21279476841205,0.0,258.0,35522.11080114842,178.6609195402298,213.03038267773118,0.0,473.2,65479.84100033044,127.17113665392812,2.142002031149872,128.888888889,5.925925925999991,46061.72703706746,878.2172413793098,1475.4085241098526,0.0,8899.8,307549.3180433303,75.97095
B,-4230160416.0,0.5917808219178082,0.4921787803522137,1,1,222.83399999141693,2833.369178082192,0.1250357468079765,2833.25,0.25,1083295.7639756799,35.98920713988938,18.87794718780999,43.9393939394,57.8787878788,13268.02803033133,3500.034246575534,3.9156006362254105,3500.0,12.5,1338198.168303281,41.502409442851295,0.04644424326450967,41.5019762846,0.14822134389999775,15867.970701224887,51.035328046100645,92.756576582792,0.0,263.026315789,20173.07355483203,160.07013698630186,6.8209366790042525,160.0,35.19999999999999,61207.01759891511,1050.0109589041097,1.1750393544772137,1050.0,3.75,401459.6587409824,13.750876075176935,16.637849103826,0.0,34.8837209302,5034.453023309416,4.761796042617158,6.56752750553808,2.22222222222,25.8333333333,1897.610208404495,12.768138001036125,0.18518797285303948,12.5925925926,0.37037037039999987,4885.255555452781,65.27853881277929,28.5279885965522,73.8095238095,150.0,24031.241190842717,0.9066002490660892,0.04758399296275143,0.909090909091,0.909090909091,346.66727271950464,7.805479452065595,4.029553980907809,10.0,16.8181818182,2880.4407272593285,50.625,26.463444505379222,65.9375,66.25,18692.511874847114,197.64164383561643,103.42738397316327,258.0,258.0,72978.84779938459,328.48219178082167,184.08315319954258,439.6,473.2,125190.75800054074,198.5225773718466,3.473945775693141,198.518518519,11.111111110999985,75917.29333160142,1631.0334246575349,1608.8084188290131,1446.9,10650.9,595745.2409904599,81.83385
B,-4230160408.0,0.5902578796561605,0.49249212838925216,1,1,213.5,2905.8660458452723,0.12485788779666619,2905.75,0.25,1069361.333250001,36.5485803594732,18.613057576002277,43.9393939394,57.8787878788,12874.71303009773,5381.860076408596,3.788436630262496,5382.5,12.5,1980541.6633332896,63.81652264516106,0.044922173484250705,63.8241106719,0.14822134389999775,23484.683754939564,57.34165284265042,94.39997235884782,0.0,263.026315789,20124.518356079596,160.11919770773676,7.127637921708929,156.8,35.19999999999999,58906.65600013733,1614.5580229226362,1.1365309890751834,1614.75,3.75,594162.4990000129,14.241354034778174,16.688381852337205,0.0,34.8837209302,5004.117441743858,5.438952562876612,7.003433268524515,2.22222222222,26.3888888889,2049.4188889190455,120.1708585374504,0.18489525358501718,120.0,0.3703703700000034,44226.851851784995,66.23140946922565,28.16210884032272,73.8095238095,150.0,23258.483332421674,0.9064860640792741,0.048662520688386224,0.909090909091,0.909090909091,333.48454545848017,7.905574368338285,3.928207515168804,10.0,10.1818181818,2781.2800681895255,51.440723495702,25.92328518176541,65.9375,65.9375,18124.492656076327,201.19770773638953,101.5017807182876,258.0,258.0,70891.25399930477,329.1002865329515,184.34366869945063,439.6,456.4,118179.58880014419,141.77862676424664,3.3846947741878286,142.222222222,11.851851851999982,52189.50370371232,1683.6154727793694,1647.3370676906095,1443.0,8981.7,594002.8321457237,83.0358
B,-4228160702.0,0.6386554621848739,0.48106434729789377,1,1,234.66650000214577,2753.8648459383753,0.12476175640502088,2753.75,0.25,1027194.0833749995,40.009337068170694,25.153651600122945,43.9393939394,70.0,14259.452878682945,1385.847338935771,3.703651139310236,1386.66666667,11.66666667000004,516927.6408334911,16.432972398445894,0.04391681192357431,16.442687747,0.13833992100000003,6129.576768773257,58.10297803326496,94.2715357891282,0.0,263.026315789,20202.20815768034,160.59159663865597,7.715942708560428,160.0,35.19999999999999,59677.33919992447,415.7542016806723,1.1110953415828297,416.0,3.5,155078.2922499925,13.811478079599429,16.77610550863849,0.0,34.8837209302,4825.462093060665,7.047930283223366,9.046664089187832,2.22222222222,32.9166666667,2713.3069444858547,663.8728083827326,0.1847446180823335,663.703703704,0.370370370000046,247628.2716667096,60.3321328531493,31.632698482289193,73.8095238095,92.380952381,21470.53309450848,0.8912655971480354,0.12622089344832324,0.909090909091,0.909090909091,333.0300000039347,8.751718869372823,5.436850308549816,10.0454545455,15.2727272727,3126.4369772081773,59.67261904761905,38.43869248314433,65.9375,106.875,21299.244687166065,205.73109243697496,125.03693055435625,256.8,336.0,73108.26239919662,328.9647058823529,227.37862347579548,439.6,590.8,120250.46179662943,300.3070857972962,3.2965193846773135,300.740740741,10.370370370000046,112022.10111108748,1400.875630252101,1288.6374841280822,1450.8,10647.0,516995.2515392483,69.62205
B,-4228160698.0,0.11235955056179775,0.31625278700560283,0,1,46.66650000214577,2776.617275280899,0.12493668280848658,2776.5,0.25,1039382.0327619165,37.04545454544301,18.17021076349312,44.2424242424,57.8787878788,13323.951969530859,2021.5543071158709,3.8045788477369817,2021.66666667,12.5,756755.15875857,23.970999689122486,0.04511358317622333,23.9723320158,0.14822134389999775,8973.38132915291,56.20601714956908,93.94053180361198,0.0,263.026315789,20059.285789899743,160.22471910112424,7.066672917155341,160.0,35.19999999999999,59941.80960073471,606.4662921348314,1.1413736542614734,606.5,3.75,227026.5476276055,14.050823099028602,16.680240736022853,0.0,34.8837209302,5011.3655812778015,4.763966916352251,6.501327559476819,2.22222222222,25.9722222222,1871.463333267794,697.5801081979771,0.18502393179508825,697.407407407,0.37037037099992176,261131.06370666213,66.82049224183271,28.37394134571736,73.8095238095,150.0,23969.965238539837,0.9065372829418641,0.048181721818475735,0.909090909091,0.909090909091,339.39363636757173,7.9920837589586515,3.8715654138484794,10.0,10.0454545455,2876.7145454308984,52.10498595505618,25.41934381944334,65.9375,66.25,18755.168124847114,203.4977528089889,99.07388561996213,256.8,258.0,73248.24659940004,333.9865168539322,175.7663052783833,434.0,467.6,123158.88620060682,207.39284228044406,3.3953797290330665,207.407407407,11.111111111000014,77653.51111198362,1503.1870786516872,1324.5367958038012,1446.9,7070.7,535116.5508147954,74.91585
B,-4228160694.0,1.0,0.0,1,0,369.0,2750.5,0.0,2750.5,0.0,1014934.5,37.12809917354976,18.007930013904005,43.9393939394,57.8787878788,13189.865757351876,1285.1041666666188,3.7691423421248182,1285.83333333,12.5,474216.80833324534,15.238389328051444,0.04469338746511673,15.2470355731,0.14822134389999952,5623.1242094813515,58.72981459324591,93.77857089916442,0.0,263.026315789,19937.66947261207,161.13636363636402,8.302187015859696,160.0,35.19999999999999,59135.46560001373,385.53125,1.130742702752956,385.75,3.75,142265.04249998927,13.929043340376081,16.64518643161054,0.0,34.8837209302,4986.613488556193,5.53069760100826,7.088338751052934,2.22222222222,26.25,2136.2105554668287,658.6963383841402,0.1853020579589027,658.518518519,0.37037036999993234,243062.2840741812,67.35660173159557,27.77775544560536,73.8095238095,150.0,23872.82857179416,0.9065082644628967,0.04845470826264325,0.909090909091,0.909090909091,334.54545454548804,8.037448347121478,3.8227925377371412,10.0,10.0909090909,2857.1536363412765,52.33043323863637,25.183926346634536,65.9375,66.25,18600.487343510613,204.16022727272764,98.26917975630346,256.8,258.0,72573.27599902153,336.9227272727281,175.04747535254157,436.8,464.8,123305.94919979572,210.8270202020254,3.387637439180143,211.111111111,11.85185185200001,77800.98925923645,1519.51534090909,1326.2352893966113,1454.7,8903.7,532907.978829673,69.89805
B,-4228160690.0,0.5589887640449438,0.4972069480298622,1,1,216.0,2730.25,0.0,2730.25,0.0,1018383.25,19.029622063329303,22.579748481858353,0.0,57.8787878788,6772.1207575814105,774.7261235956616,2.430789940782701,776.666666667,6.666666666999959,289008.6104167367,9.186503530666398,0.028831489065934936,9.20948616601,0.07905138340000128,3426.989451581432,56.19160260195163,94.46485049172334,0.0,263.026315789,20031.589603693697,160.26966292134875,7.307929777477118,160.0,35.19999999999999,59772.25760011673,232.4185393258427,0.7294366733452258,233.0,2.0,86702.83312500268,14.137705774753297,16.686742359079823,0.0,34.8837209302,5032.1690697846325,3.134363295879242,5.961122551127453,2.22222222222,26.25,1295.8086111311245,628.8888888889987,1.2523153216708127e-12,628.888888889,0.0,234575.55555559698,34.652220438733394,38.59953859207374,0.0,150.0,12346.449047354103,0.5107252298264042,0.45169515927105613,0.909090909091,0.909090909091,195.9090909091105,4.108401430031739,4.863255383795713,0.0,10.0909090909,1462.1657727391703,26.87324438202247,31.848554639866375,0.0,66.25,9562.387031363323,104.82471910112349,124.2812741548562,0.0,258.0,37302.168000411984,181.33932584269658,213.8360196369929,0.0,467.6,67329.21300069094,104.81897627979164,2.2270817200469386,105.925925926,5.925925926000005,39131.851851907995,848.7977528089889,1385.3757334020083,0.0,7546.5,304561.09513718786,68.48055
B,-4228160686.0,0.14124293785310735,0.3487649317824304,0,1,56.83349999785423,2751.0,0.0,2751.0,0.0,1020621.0,37.30868002053967,18.024146922585533,43.9393939394,57.8787878788,13311.702878970023,1304.2514124290394,3.8067753759248903,1305.0,12.5,483893.7520831848,15.465487595178592,0.04511382933448433,15.4743083004,0.1482213439000013,5737.890340906406,56.95175438590331,94.20422306328548,0.0,263.026315789,20145.915724860457,160.3163841807914,7.209013277919641,160.0,35.19999999999999,59418.66719999314,391.2768361581921,1.1413798821613976,391.5,3.75,145168.62562499195,13.82144264878905,16.67881328752641,0.0,34.8837209302,5057.317093129461,5.403719397361374,7.03609618741069,2.22222222222,26.25,2094.9945139588935,659.6296296300053,5.350844407660833e-12,659.62962963,0.0,244722.59259273,66.98816249662977,27.27128214921832,73.8095238095,150.476190476,23841.583809566066,0.9039548022599736,0.0682346016816236,0.909090909091,0.909090909091,335.15136363834785,8.0675398048517,3.819406764707002,10.0454545455,10.0454545455,2877.7028863936202,52.494703389830505,25.139724946371075,65.9375,66.25,18734.927656510845,204.94576271186463,98.1449422259962,256.8,258.0,73144.7226009965,335.6598870056493,176.89014540724634,436.8,456.4,122679.96860212088,227.84473739272332,3.424273273301495,228.148148148,11.85185185200001,84538.89074070135,1507.2618644067798,1334.944710502885,1450.8,9453.6,537068.6606625259,70.2468
